original_term,categories
6 gorillion,"['ethnicity']"
African catfish,"['ethnicity', 'religion']"
Africoon,"['ethnicity']"
Africoons,"['ethnicity']"
Americoon,"['ethnicity']"
Bog Irish,"['nationality', 'class']"
Buckwheat,"['ethnicity']"
Buddhahead,"['ethnicity']"
Chinaman,"['nationality']"
Chinese wetback,"['nationality', 'ethnicity']"
Christ killer,"['ethnicity', 'religion']"
Chuslim,"['religion']"
Congoid,"['ethnicity']"
CoronaJihad,"['religion']"
Cushite,"['ethnicity']"
Gwat,"['nationality']"
Honyak,"['nationality']"
Honyock,"['nationality']"
Hunyak,"['nationality']"
Hunyock,"['nationality']"
Japland,"['nationality', 'ethnicity']"
Jewbacca,"['ethnicity']"
Jihadi,"['ethnicity', 'religion']"
JihadiVirus,"['religion']"
Jim Fish,"['ethnicity']"
Kushi,"['ethnicity']"
Kushite,"['ethnicity']"
Leb,"['nationality']"
Lebbo,"['nationality']"
Northern monkey,"['']"
Oriental,"['ethnicity']"
Pakiland,"['nationality']"
Rhineland bastard,"['ethnicity']"
Rhineland bastards,"['ethnicity']"
Shylock,"['ethnicity']"
Southern fairy,"['']"
Ubangee,"['ethnicity']"
Uncle Tom,"['ethnicity']"
Uncle Toms,"['ethnicity']"
ZOG,"['ethnicity']"
ZOG lover,"['ethnicity']"
Zio,"['nationality', 'ethnicity', 'religion']"
Zionazi,"['nationality', 'ethnicity', 'religion']"
abbos,"['ethnicity']"
abos,"['ethnicity']"
alligator bait,"['ethnicity']"
anchor baby,"['ethnicity']"
ape,"['ethnicity']"
bamboo coon,"['nationality', 'ethnicity']"
banjo lips,"['ethnicity']"
beach nigger,"['ethnicity']"
bean bandit,"['ethnicity']"
bean bandits,"['ethnicity']"
beaner,"['ethnicity']"
beaner babies,"['ethnicity']"
beaner baby,"['ethnicity']"
beaner shnitzel,"['nationality', 'ethnicity']"
beaners,"['ethnicity']"
black dago,"['nationality', 'ethnicity']"
black invader,"['ethnicity']"
blue gum,"['ethnicity']"
bluegum,"['ethnicity']"
bog hopper,"['nationality', 'class']"
