term,language,sightings,offense_level
6 gorillion,English,1.0,Highly offensive
African catfish,English,72.0,Extremely offensive
Africoon,English,194.0,Extremely offensive
Africoons,English,792.0,Extremely offensive
Americoon,English,54.0,Extremely offensive
Bog Irish,English,151.0,Highly offensive
Buckwheat,English,305.0,Highly offensive
Buddhahead,English,6.0,Highly offensive
Chinaman,English,3751.0,Highly offensive
Chinese wetback,English,3.0,Extremely offensive
Christ killer,English,330.0,Extremely offensive
Chuslim,English,211.0,Extremely offensive
Congoid,English,880.0,Extremely offensive
CoronaJihad,English,42.0,Extremely offensive
Cushite,English,640.0,Highly offensive
Gwat,English,11.0,Extremely offensive
Honyak,English,4.0,Extremely offensive
Honyock,English,9.0,Highly offensive
Hunyak,English,45.0,Highly offensive
Hunyock,English,2.0,Extremely offensive
Japland,English,172.0,Extremely offensive
Jewbacca,English,62.0,Extremely offensive
Jihadi,English,1588.0,Highly offensive
JihadiVirus,English,7.0,Extremely offensive
Jim Fish,English,25.0,Extremely offensive
Kushi,English,82.0,Extremely offensive
Kushite,English,720.0,Highly offensive
Leb,English,38.0,Extremely offensive
Lebbo,English,82.0,Extremely offensive
Northern monkey,English,232.0,Highly offensive
Oriental,English,299.0,Extremely offensive
Pakiland,English,1803.0,Extremely offensive
Rhineland bastard,English,8.0,Extremely offensive
Rhineland bastards,English,117.0,Extremely offensive
Russellite,English,3.0,Extremely offensive
Shylock,English,684.0,Highly offensive
Southern fairy,English,320.0,Highly offensive
Ubangee,English,2.0,Highly offensive
Uncle Tom,English,1875.0,Highly offensive
Uncle Toms,English,1952.0,Extremely offensive
ZOG,English,686.0,Extremely offensive
ZOG lover,English,5.0,Extremely offensive
Zio,English,64.0,Highly offensive
Zionazi,English,2944.0,Extremely offensive
abbos,English,109.0,Extremely offensive
abos,English,82.0,Highly offensive
alligator bait,English,751.0,Highly offensive
anchor baby,English,1586.0,Highly offensive
ape,English,1.0,Extremely offensive
bamboo coon,English,11.0,Extremely offensive
banjo lips,English,30.0,Extremely offensive
beach nigger,English,23.0,Highly offensive
bean bandit,English,77.0,Highly offensive
bean bandits,English,21.0,Highly offensive
beaner,English,1659.0,Highly offensive
beaner babies,English,118.0,Extremely offensive
beaner baby,English,220.0,Extremely offensive
beaner shnitzel,English,1.0,Extremely offensive
beaners,English,1623.0,Extremely offensive
black dago,English,13.0,Highly offensive
black invader,English,58.0,Highly offensive
blue gum,English,178.0,Highly offensive
bluegum,English,240.0,Highly offensive
bog hopper,English,21.0,Highly offensive
bog trotter,English,785.0,Highly offensive
bog trotters,English,530.0,Extremely offensive
bogan,English,2137.0,Highly offensive
bogans,English,1106.0,Highly offensive
bohunk,English,737.0,Highly offensive
booner,English,500.0,Highly offensive
boong,English,135.0,Extremely offensive
boonie,English,241.0,Highly offensive
bootlip,English,52.0,Extremely offensive
bootlips,English,24.0,Extremely offensive
border bunny,English,320.0,Extremely offensive
border hopper,English,2824.0,Extremely offensive
border jumper,English,3422.0,Highly offensive
border nigger,English,9.0,Extremely offensive
brass ankle,English,3.0,Highly offensive
brown invader,English,38.0,Highly offensive
brown invaders,English,295.0,Highly offensive
buckethead,English,1.0,Highly offensive
buckra,English,396.0,Highly offensive
