term,language,offense_level,sightings_number
nigs,English,-,999.0
groid,English,Extremely offensive,997.0
house nigger,English,Extremely offensive,992.0
curry munchers,English,Moderately offensive,988.0
plastic paddies,English,-,987.0
wetbacks,English,-,987.0
gippo,English,Extremely offensive,983.0
nigger,English,Extremely offensive,982.0
quadroons,English,Highly offensive,979.0
himbo,English,Mildly offensive,977.0
nig nog,English,Extremely offensive,974.0
whore,English,Highly offensive,964.0
gypped,English,Moderately offensive,963.0
papists,English,Extremely offensive,963.0
gooks,English,Extremely offensive,962.0
culchies,English,-,962.0
gimpy,English,Highly offensive,962.0
slant eyes,English,Extremely offensive,956.0
rubes,English,Mildly offensive,954.0
honkey,English,Moderately offensive,953.0
Uncle Toms,English,Extremely offensive,952.0
Zionazi,English,Extremely offensive,944.0
pommy,English,Highly offensive,942.0
hosers,English,Mildly offensive,939.0
gay mafia,English,-,938.0
eurotrash,English,Extremely offensive,928.0
nig nogs,English,-,926.0
bints,English,Mildly offensive,918.0
octaroon,English,Highly offensive,911.0
pickaninnies,English,Extremely offensive,910.0
niggah,English,Extremely offensive,903.0
hoodrat,English,Highly offensive,897.0
yardie,English,Highly offensive,895.0
wexican,English,Highly offensive,894.0
coon ass,English,Highly offensive,891.0
greaseballs,English,-,890.0
faggots,English,Extremely offensive,889.0
spaz,English,Moderately offensive,885.0
wops,English,Moderately offensive,885.0
yids,English,-,883.0
faggot,English,Extremely offensive,882.0
Congoid,English,Extremely offensive,880.0
Uncle Tom,English,Highly offensive,875.0
limey,English,Mildly offensive,874.0
whitey,English,Extremely offensive,872.0
tar babies,English,-,867.0
sand niggers,English,-,866.0
whigga,English,Highly offensive,857.0
eshay,English,-,857.0
knacker,English,Extremely offensive,855.0
smoke jumpers,English,-,853.0
porch monkey,English,Extremely offensive,848.0
race traitor,English,Extremely offensive,846.0
nigglet,English,Extremely offensive,830.0
yellow bones,English,-,828.0
mud sharks,English,-,826.0
border hopper,English,Extremely offensive,824.0
heebs,English,Highly offensive,818.0
spear chuckers,English,-,816.0
fruities  ,English,-,814.0
gypo,English,Extremely offensive,813.0
chinks,English,Extremely offensive,809.0
fudgepackers,English,Highly offensive,809.0
hoser,English,Mildly offensive,807.0
Pakiland,English,Extremely offensive,803.0
picaninnies,English,-,801.0
pikers,English,-,801.0
Homintern,English,-,799.0
Africoons,English,Extremely offensive,792.0
mussies,English,-,792.0
niggur,English,Extremely offensive,791.0
gypos,English,-,788.0
bog trotter,English,Highly offensive,785.0
greasers,English,-,785.0
batty man,English,-,780.0
camel jockeys,English,Moderately offensive,780.0
munter,English,Extremely offensive,777.0
chav,English,Mildly offensive,773.0
darkies,English,Highly offensive,771.0
batty boys,English,-,770.0
dole bludgers,English,-,761.0
spic,English,Highly offensive,761.0
coons,English,-,756.0
alligator bait,English,Highly offensive,751.0
Chinaman,English,Highly offensive,751.0
poppadoms,English,-,750.0
culchie,English,-,749.0
Massholes,English,-,744.0
gimp,English,Extremely offensive,739.0
bohunk,English,Highly offensive,737.0
gyppos,English,-,733.0
jiggaboo,English,Extremely offensive,732.0
slopey,English,Extremely offensive,730.0
cowboy killers,English,-,727.0
anchor babies,English,Moderately offensive,726.0
mongs,English,-,726.0
injuns,English,-,721.0
heinies,English,Highly offensive,721.0
Kushite,English,Highly offensive,720.0
gyppo,English,Extremely offensive,712.0
yobs,English,-,711.0
shanty Irish,English,Moderately offensive,709.0
hoodrats,English,Highly offensive,705.0
gook,English,Extremely offensive,702.0
dindu,English,Extremely offensive,701.0
Gerudos,English,-,700.0
sand nigger,English,Extremely offensive,699.0
dindu nuffin,English,Extremely offensive,699.0
groids,English,-,695.0
coolies,English,-,694.0
hymie,English,Highly offensive,691.0
jigaboo,English,Extremely offensive,689.0
rednecks,English,Moderately offensive,689.0
trailer park trash,English,Highly offensive,688.0
ZOG,English,Extremely offensive,686.0
octaroons,English,-,684.0
Shylock,English,Highly offensive,684.0
cotton pickers,English,-,683.0
hayseed,English,Highly offensive,682.0
nig,English,Extremely offensive,679.0
butt pirate,English,Highly offensive,678.0
niggers,English,Extremely offensive,678.0
red bone,English,Moderately offensive,678.0
quadroon,English,Highly offensive,676.0
redneck,English,Highly offensive,675.0
ocker,English,Highly offensive,674.0
pommies,English,-,667.0
towel head,English,Extremely offensive,667.0
nigras,English,-,666.0
gaylords,English,-,663.0
towel heads,English,-,663.0
pavement apes,English,-,663.0
wigger,English,Extremely offensive,661.0
beaner,English,Highly offensive,659.0
whiggas,English,Moderately offensive,655.0
cripple,English,Highly offensive,654.0
coloureds,English,-,649.0
nigers,English,-,648.0
pavement ape,English,Extremely offensive,644.0
kneegrow,English,Extremely offensive,643.0
nicca,English,Extremely offensive,643.0
jungle bunny,English,Extremely offensive,643.0
picaninny,English,-,641.0
camel jockey,English,Highly offensive,640.0
Cushite,English,Highly offensive,640.0
bludger,English,Mildly offensive,639.0
peckerwood,English,Highly offensive,638.0
scallies,English,-,635.0
slags,English,Highly offensive,633.0
dyke,English,Extremely offensive,632.0
whiggers,English,-,632.0
ching chong,English,Highly offensive,628.0
bitches,English,Moderately offensive,626.0
beaners,English,Extremely offensive,623.0
wiggas,English,-,621.0
poppadom,English,Extremely offensive,618.0
cowboy killer,English,Highly offensive,616.0
mud ducks,English,-,615.0
sluts,English,Extremely offensive,608.0
coolie,English,Extremely offensive,607.0
piker,English,Highly offensive,606.0
lipstick lesbian,English,-,604.0
tar baby,English,Extremely offensive,603.0
dhimmi,English,Extremely offensive,603.0
smick,English,Mildly offensive,601.0
fag,English,Extremely offensive,599.0
polack,English,Highly offensive,598.0
retards,English,Moderately offensive,589.0
batty bwoy,English,-,588.0
Jihadi,English,Highly offensive,588.0
anchor baby,English,Highly offensive,586.0
sheboons,English,-,580.0
kneegroes,English,-,580.0
polacks,English,-,575.0
niggars,English,-,574.0
fudgepacker,English,Highly offensive,573.0
slut,English,Highly offensive,572.0
