term,language,sightings,offense_level
6 gorillion,English,1 sighting,Highly offensive
ABC,English,1 sighting,Mildly offensive
ABCD,English,-,Mildly offensive
ABCDs(plural ofABCD),English,-,Mildly offensive
ABCs(plural ofABC),English,2 sightings,Mildly offensive
African catfish,English,72 sightings(Recent),Extremely offensive
African catfishes(plural ofAfrican catfish),English,16 sightings(Recent),-
Africoon,English,194 sightings(Recent),Extremely offensive
Africoons(plural ofAfricoon),English,792 sightings(Recent),Extremely offensive
Afro-Saxon,English,110 sightings(Recent),Mildly offensive
Afro-Saxons(plural ofAfro-Saxon),English,276 sightings(Recent),Mildly offensive
Ahab,English,-,Highly offensive
Ahabs(plural ofAhab),English,-,Highly offensive
AmeriKKKan,English,312 sightings(Recent),Mildly offensive
Americoon,English,54 sightings(Recent),Extremely offensive
Americoons(plural ofAmericoon),English,242 sightings(Recent),-
Amo,English,15 sightings(Recent),Mildly offensive
Amos(plural ofAmo),English,-,Moderately offensive
Angie,English,-,Mildly offensive
Angies(plural ofAngie),English,-,-
Anglo,English,-,Mildly offensive
Anglo Fool,English,-,Moderately offensive
Anglos(plural ofAnglo),English,493 sightings(Recent),-
Ann,English,-,Mildly offensive
Annies(plural ofAnn),English,-,Mildly offensive
Anns(plural ofAnn),English,-,Moderately offensive
Argie,English,317 sightings(Recent),Mildly offensive
Argies(plural ofArgie),English,496 sightings(Recent),-
Armo,English,8 sightings,Moderately offensive
Armos(plural ofArmo),English,247 sightings(Recent),-
Aunt Jane(variant ofAunt Jemima),English,-,Mildly offensive
Aunt Janes(plural ofAunt Jane),English,17 sightings,Mildly offensive
Aunt Jemima,English,1 sighting,Mildly offensive
Aunt Jemimas(plural ofAunt Jemima),English,305 sightings(Recent),Moderately offensive
Aunt Mary(variant ofAunt Jemima),English,-,Moderately offensive
Aunt Marys(plural ofAunt Mary),English,20 sightings(Recent),Moderately offensive
Aunt Sally(variant ofAunt Jemima),English,-,-
Aunt Sallys(plural ofAunt Sally),English,26 sightings(Recent),-
Beckies(plural ofBecky),English,-,-
Becky,English,-,-
Beckys(plural ofBecky),English,-,-
Bengali,English,-,Mildly offensive
Bengalis(plural ofBengali),English,-,Mildly offensive
Bihari,English,-,Moderately offensive
Biharis(plural ofBihari),English,-,Moderately offensive
Bog Irish,English,151 sightings(Recent),Highly offensive
Bounty bar,English,-,Moderately offensive
Bounty bars(plural ofBounty bar),English,-,Moderately offensive
Buckwheat,English,305 sightings(Recent),Highly offensive
Buddhahead,English,6 sightings,Highly offensive
Buddhaheads(plural ofBuddhahead),English,24 sightings,-
Caublasian,English,46 sightings(Recent),Moderately offensive
Caublasians(plural ofCaublasian),English,10 sightings,-
Chad,English,-,Mildly offensive
Chad Thundercock(variant ofChad),English,-,-
Chad Thundercocks(plural ofChad Thundercock),English,-,-
Chads(plural ofChad),English,-,Mildly offensive
Charlie,English,-,Extremely offensive
Charlies(plural ofCharlie),English,-,-
Charly(variant ofCharlie),English,-,-
Chinaman,English,"3,751 sightings(Recent)",Highly offensive
Chinamen(plural ofChinaman),English,"2,439 sightings(Recent)",-
Chinese wetback,English,3 sightings,Extremely offensive
Chinese wetbacks(plural ofChinese wetback),English,-,-
Christ killer,English,330 sightings(Recent),Extremely offensive
Christ killers(plural ofChrist killer),English,558 sightings(Recent),-
Chuslim,English,211 sightings(Recent),Extremely offensive
Cocoa Puff(variant ofcocoa),English,-,Highly offensive
Cocoa Puffs(plural ofCocoa Puff),English,-,-
Congoid,English,880 sightings(Recent),Extremely offensive
Congoids(plural ofCongoid),English,436 sightings(Recent),-
CoronaJihad,English,42 sightings(Recent),Extremely offensive
Covid786,English,-,Extremely offensive
Cushi(variant ofCushite),English,59 sightings,Moderately offensive
Cushis(plural ofCushi),English,3 sightings,Mildly offensive
Cushite,English,640 sightings(Recent),Highly offensive
Cushites(plural ofCushite),English,349 sightings(Recent),-
FGM,English,-,Extremely offensive
FOB(variant offresh off the boat),English,-,Extremely offensive
FOBs(plural ofFOB),English,-,-
Fairy,English,-,Extremely offensive
Fenian,English,563 sightings(Recent),-
Fenians(plural ofFenian),English,555 sightings(Recent),-
Freḥa(transliteration ofפרחה),English,1 sighting,-
Gerudo,English,-,Extremely offensive
Gerudos(plural ofGerudo),English,700 sightings(Recent),-
Girl,English,-,Moderately offensive
Gwat,English,11 sightings,Extremely offensive
Gwats(plural ofGwat),English,1 sighting,-
Homintern,English,799 sightings(Recent),-
Honyak(variant ofHunyak),English,4 sightings,Extremely offensive
