"id","username","location","relationship_type","target"
1,"capitalistpigs","USA","follower","moger4"
2,"honeybumbles840","Asheville NC","follower","moger4"
3,"daolai","Free Miles Guo Now !","follower","moger4"
4,"moochbot","For most, outta Range!","follower","moger4"
5,"republican_team_","","follower","moger4"
6,"jessicalopez11281","","follower","moger4"
7,"sham094","","follower","moger4"
8,"danieljonas5555","","follower","moger4"
9,"melissamai","","follower","moger4"
10,"creekgirl4now_3553","","follower","moger4"
11,"real_ataf","AZ+CA+FL+HI+IN+KY+NY+NV+TN+TX","follower","moger4"
12,"whetdog","Southeast Washington","follower","moger4"
13,"trumpvvon_5340","","follower","moger4"
14,"bubbysims","","follower","moger4"
15,"tomrobertsonnn","","follower","moger4"
16,"romancat13","Elgin,TX","follower","moger4"
17,"qiosp","Pakistan","follower","moger4"
18,"larrygibson289","Denver Colorado","follower","moger4"
19,"sarahwilliams662","","follower","moger4"
20,"harry_7634","Sacramento California","follower","moger4"
21,"samanthar2","","follower","moger4"
22,"kapur","","follower","moger4"
23,"cathy_2013","","follower","moger4"
24,"fiona_8035","","follower","moger4"
25,"usweekly","","follower","moger4"
26,"tomas_3697","","follower","moger4"
27,"natasha_mcnamara","","follower","moger4"
28,"kerry_lee","U.S","follower","moger4"
29,"lexie_5962","","follower","moger4"
30,"tony_lawrence","Minnesota","follower","moger4"
31,"lilychris_6356","Texas","follower","moger4"
32,"linda_8200","","follower","moger4"
33,"zaq1868v","","follower","moger4"
34,"lindapfisterofficial","Phoenix , Arizona","follower","moger4"
35,"xinxin26","","follower","moger4"
36,"nevergiveup","NFSC","follower","moger4"
37,"legsby","Lincolnshire","follower","moger4"
38,"potusg","⬇️Join @OHMichael’s Meme Group","follower","moger4"
39,"tl1413","","follower","moger4"
40,"andysco","England","follower","moger4"
41,"alissapeterson1","","follower","moger4"
42,"art_of_sf","","follower","moger4"
43,"tsturm","GODS COUNTRY!","follower","moger4"
44,"ottenj330_jeff","","follower","moger4"
45,"worldanimals","","follower","moger4"
46,"bigbob63","Dallas, tx","follower","moger4"
47,"alesis1975","","follower","moger4"
48,"qspartanwarriqrworldwide9","","follower","moger4"
49,"mattelitestorm","Join Odysee","follower","moger4"
50,"loyaltruth456","Taxas","follower","moger4"
51,"gettr","New York, NY","following","moger4"
52,"curious_bunny","England, UK","following","moger4"
53,"bazza1","ENGLAND ...","following","moger4"
54,"policeabuse","","following","moger4"
55,"vowalesofficial","Wales","following","moger4"
56,"britainfirst","Manchester","following","moger4"
57,"mahyar_tousi","","following","moger4"
58,"w_terrence","United States","following","moger4"
59,"tommyrobinson1","ENGLAND","following","moger4"
60,"leivers1980","Telford UK","following","moger4"
61,"mrandyngo","US, UK","following","moger4"
62,"ginacarano","","following","moger4"
63,"maajidnawaz","London","following","moger4"
64,"thisiskyler","USA","following","moger4"
65,"billy_idle","Preston UK","following","moger4"
66,"scrowder88","United States","following","moger4"
67,"lordpearson","","following","moger4"
68,"trobinsonnewera","England","following","moger4"
69,"tommyrobinsonn","","following","moger4"
70,"kennethfranklin189","Alabama","follower","christine65"
71,"hkz286","","follower","christine65"
72,"henrikthomas","","follower","christine65"
73,"seanhannity47","New York, NY","follower","christine65"
74,"georgewillilam9704","London","follower","christine65"
75,"diassunia24","","follower","christine65"
76,"endicottfredrick","FL","follower","christine65"
77,"inuhs3","🙏  California  USA  🇺🇲","follower","christine65"
78,"bnp_forever","West Midlands","follower","christine65"
79,"daniel_1735","Texas","follower","christine65"
80,"guos764","","follower","christine65"
81,"koolerkart","Florida US","follower","christine65"
82,"anthonycharlton673","Iowa Waterloo","follower","christine65"
83,"frederikgary","San Francisco California","follower","christine65"
84,"bayoemma1","Mityana Uganda","follower","christine65"
85,"joelstaff","Florida","follower","christine65"
86,"evayan","Los Angles","follower","christine65"
87,"feistywench1","Shores of the Salish Sea","follower","christine65"
88,"grace05","","follower","christine65"
89,"charles_5255","North Carolina","follower","christine65"
90,"timeline","","follower","christine65"
91,"kiantiu2","西朝鲜","follower","christine65"
92,"wood72109","Atlanta","follower","christine65"
93,"kaifengwang","","follower","christine65"
94,"petersoncharlse606","Houston Texas","follower","christine65"
95,"blessedpapa","wisconsin","follower","christine65"
96,"shuiliaohe777","","follower","christine65"
97,"elisaw862","","follower","christine65"
98,"patrickberry454","Pennsylvania","follower","christine65"
99,"thamjungg","Los Angeles","follower","christine65"
100,"katiemary994","🇺🇸 🇬🇧 🇦🇺 🇩🇪 🇨🇦","follower","christine65"
101,"dennisdickson","Texas","follower","christine65"
102,"tanyanni","纽约","follower","christine65"
103,"braxtonraymond13","Austin texas","follower","christine65"
104,"wu9677","","follower","christine65"
105,"alooosjeff","","follower","christine65"
106,"langyue","","follower","christine65"
107,"trumpsupporters2024_","","follower","christine65"
108,"harlygarvin","USA","follower","christine65"
109,"rclaw","USA 🇺🇸","follower","christine65"
110,"tbown","free state of florida","follower","christine65"
111,"andyhall2284","From Chicago but  in Yemen","follower","christine65"
112,"henry_2579","","follower","christine65"
113,"georgematthew424","Fremont, California","follower","christine65"
114,"wm4047191","","follower","christine65"
115,"vaccineisdeath","123 main st Antartica","follower","christine65"
116,"mccarthypeter40","Miami Florida","follower","christine65"
117,"chmorgan","","follower","christine65"
118,"vaclav69","","follower","christine65"
119,"2022trumparmy","","follower","christine65"
120,"gettr","New York, NY","following","christine65"
121,"wm4047191","","following","christine65"
122,"elwoodsadler","Live in free state of Florida","following","christine65"
123,"2022trumparmy","","following","christine65"
124,"vaclav69","","following","christine65"
125,"deanna_rae","Houston Texas","following","christine65"
126,"manowar","𝚂𝚘𝚞𝚝𝚑𝚎𝚛𝚗 𝙸𝚍𝚊𝚑𝚘","following","christine65"
127,"rogerfritz7","","following","christine65"
128,"papadjcusa","Senatobia, MS","following","christine65"
129,"arizonagal1776","High desert mesa 🌞","following","christine65"
130,"suzette79","TX","following","christine65"
131,"view_jerry","Michigan","following","christine65"
132,"jc0214","Oregon coast","following","christine65"
133,"magaman58","","following","christine65"
134,"agrossrvt","","following","christine65"
135,"lioneaglecat","null","following","christine65"
136,"mrrcdavis","","following","christine65"
137,"patriotrevenge","USA","following","christine65"
138,"mitrniza","","following","christine65"
139,"trumpvvon","X","following","christine65"
140,"laralogan","The country of Texas.","following","christine65"
141,"2ndamendmentnow","ARIZONA","following","christine65"
142,"1776patriotgirl","Northwest FL","following","christine65"
143,"nancy4children","","following","christine65"
144,"joefd62","Bronx Native, Now in Maine","following","christine65"
145,"grammad52","Washington state","following","christine65"
146,"scothwilliams11","","following","christine65"
147,"trumpisourway","Las Vegas Nevada USA 🇺🇸","following","christine65"
148,"audrie","Florida","following","christine65"
149,"annienicole","","following","christine65"
150,"torquem552","Kansas","following","christine65"
151,"typingchimp","Tucson, Arizona","following","christine65"
152,"muffjamie","","following","christine65"
153,"eagleinthecloud","USA","following","christine65"
154,"curt1113","Lansing michigan","following","christine65"
155,"keanureevescharles148","Los Angeles","following","christine65"
156,"russvought","","following","christine65"
157,"gettrav","None of your damn business","following","christine65"
158,"ivarthegreat","","following","christine65"
159,"kenzie51","","following","christine65"
160,"alwaysbeready","","following","christine65"
161,"satya1776","","following","christine65"
162,"roycewhite","","following","christine65"
163,"maddduck","Portland, Oregon","following","christine65"
164,"atadmaddad","USA 🇺🇸","following","christine65"
165,"phattygoodness","","following","christine65"
166,"terminatoraz","S AZ","following","christine65"
167,"johnschneiderprivate","","following","christine65"
168,"easbel51","","following","christine65"
169,"jodyw","","following","christine65"
170,"johne","Gainesville","follower","aerovets"
171,"alexanderblackofficial","Northern Mariana Islands","follower","aerovets"
172,"destin3838","P-cola FL.","follower","aerovets"
173,"operationfollow","⬇️Join @OHMichael’s Meme Group","follower","aerovets"
174,"_taketheredpill","Wisconsin","follower","aerovets"
175,"sadieredd","Due2job/Blue State ILmovingTN","follower","aerovets"
176,"xingminlaopo","","follower","aerovets"
177,"zhangxiaoling","","follower","aerovets"
178,"pamelaconnor094","Raleigh, NC","follower","aerovets"
179,"zhanying","","follower","aerovets"
180,"bob_eckert","156.5K Total Followers","follower","aerovets"
181,"haishen","NFSC","follower","aerovets"
182,"24578893p","雅典娜農場","follower","aerovets"
183,"moochbot","For most, outta Range!","follower","aerovets"
184,"dumbassery","","follower","aerovets"
185,"darepuz","","follower","aerovets"
186,"kaster","usa","follower","aerovets"
187,"qcqjt526","","follower","aerovets"
188,"laurencarly","North Carolina","follower","aerovets"
189,"1776gunner","Woods of North Carolina","follower","aerovets"
190,"ygqfyxmg","","follower","aerovets"
191,"mainecabinfever","Maine","follower","aerovets"
192,"keiko1104","Tampa Florida","follower","aerovets"
193,"deplorablepaul","Georgia","follower","aerovets"
194,"apryl_witha_why","🌴Florida🌴😎💜","follower","aerovets"
195,"geoffforeman","Springfield Missouri","follower","aerovets"
196,"kagrevolution","South Dakota","follower","aerovets"
197,"diana800262","","follower","aerovets"
198,"keithslocum","Nevada","follower","aerovets"
199,"nancyjeff6868","","follower","aerovets"
