username,location,relationship_type,target
capitalistpigs,USA,follower,moger4
honeybumbles840,Asheville NC,follower,moger4
daolai,Free Miles Guo Now !,follower,moger4
moochbot,"For most, outta Range!",follower,moger4
republican_team_,,follower,moger4
jessicalopez11281,,follower,moger4
sham094,,follower,moger4
danieljonas5555,,follower,moger4
melissamai,,follower,moger4
creekgirl4now_3553,,follower,moger4
real_ataf,AZ+CA+FL+HI+IN+KY+NY+NV+TN+TX,follower,moger4
whetdog,Southeast Washington,follower,moger4
trumpvvon_5340,,follower,moger4
bubbysims,,follower,moger4
tomrobertsonnn,,follower,moger4
romancat13,"Elgin,TX",follower,moger4
qiosp,Pakistan,follower,moger4
larrygibson289,Denver Colorado,follower,moger4
sarahwilliams662,,follower,moger4
harry_7634,Sacramento California,follower,moger4
samanthar2,,follower,moger4
kapur,,follower,moger4
cathy_2013,,follower,moger4
fiona_8035,,follower,moger4
usweekly,,follower,moger4
tomas_3697,,follower,moger4
natasha_mcnamara,,follower,moger4
kerry_lee,U.S,follower,moger4
lexie_5962,,follower,moger4
tony_lawrence,Minnesota,follower,moger4
lilychris_6356,Texas,follower,moger4
linda_8200,,follower,moger4
zaq1868v,,follower,moger4
lindapfisterofficial,"Phoenix , Arizona",follower,moger4
xinxin26,,follower,moger4
nevergiveup,NFSC,follower,moger4
legsby,Lincolnshire,follower,moger4
potusg,⬇️Join @OHMichael’s Meme Group,follower,moger4
tl1413,,follower,moger4
andysco,England,follower,moger4
alissapeterson1,,follower,moger4
art_of_sf,,follower,moger4
tsturm,GODS COUNTRY!,follower,moger4
ottenj330_jeff,,follower,moger4
worldanimals,,follower,moger4
bigbob63,"Dallas, tx",follower,moger4
alesis1975,,follower,moger4
qspartanwarriqrworldwide9,,follower,moger4
mattelitestorm,Join Odysee,follower,moger4
loyaltruth456,Taxas,follower,moger4
harlow1953,Georgia,follower,moger4
chris100_3316,,follower,moger4
ervin11262,HELL,follower,moger4
chrisingrosso3,,follower,moger4
karenjoef9,,follower,moger4
cornellis,Usa,follower,moger4
ad2326,london,follower,moger4
simondave,,follower,moger4
apostledhambefred,UGANDA,follower,moger4
spudahoi90,spudaho 😁,follower,moger4
hendricksjenny206,USA 🇺🇸,follower,moger4
bobmichel2,,follower,moger4
janetsimpson778,,follower,moger4
audreyhilger,,follower,moger4
luckymee2,Commiefornia,follower,moger4
mimidw,Florida,follower,moger4
jahdiel_2228,Florida,follower,moger4
evelymasson,Las Vegas Nevada,follower,moger4
jedliska,"Atlanta, Georgia",follower,moger4
ivanhoecheek1,USA,follower,moger4
fatemaakhter000999pp,United states,follower,moger4
kellyshero,South Coast of England,follower,moger4
grece_9947,new york,follower,moger4
philkontur,Tennessee,follower,moger4
lindamariacarrillo_8263,Lost Angeles Westside,follower,moger4
dazj1981_6514,,follower,moger4
jessk2022,,follower,moger4
beatles1965jad,Sun Shine State,follower,moger4
stormbear,,follower,moger4
annien_3881,United States,follower,moger4
5atton,,follower,moger4
godfamcntry,Washington State,follower,moger4
haqquran,Pakistan 🇵🇰,follower,moger4
meyersarah,,follower,moger4
er2331604,,follower,moger4
firstnotlast,,follower,moger4
kbtucson,,follower,moger4
crapalot,,follower,moger4
pedro__447,Usa,follower,moger4
bydenhater,hell,follower,moger4
freedomdailyusa,,follower,moger4
jimmyhandyman,Uk,follower,moger4
cee02,"Lubbock, TX",follower,moger4
happy_tell,,follower,moger4
gn860603,,follower,moger4
sidders75,England🏴󠁧󠁢󠁥󠁮󠁧󠁿,follower,moger4
alfredroy6,Arizona🇺🇲🇦🇺,follower,moger4
nivag77,"LUTON,UK",follower,moger4
blueberrybramble,UK,follower,moger4
monkeyinyork,"York, UK",follower,moger4
chrissy58,UK,follower,moger4
berenicenztdukj,,follower,moger4
petalumajock,"Houston, Texas, Area, Rosharon",follower,moger4
davecovey,,follower,moger4
conservative_box,,follower,moger4
bettytuck,,follower,moger4
martini1,London,follower,moger4
spunkybunk,Midlands,follower,moger4
babs01,,follower,moger4
davidluizok,,follower,moger4
christinacharlotte48,,follower,moger4
tothebackteeth,Burton on Trent,follower,moger4
darepuz,,follower,moger4
rlever,,follower,moger4
harinamolly,USA,follower,moger4
love_baby4053,,follower,moger4
711023stn,美国,follower,moger4
usahope,Missouri,follower,moger4
loverosep,Ohio culumbus,follower,moger4
pamdebear63,"Texas City, Texas",follower,moger4
johndavies,Cheltenham U.K.,follower,moger4
fritzcopeland,Gates of Hell,follower,moger4
usa4dummmies,Pennsylvania,follower,moger4
javelin1969,🍁🤡 Clown Land Canada 🤡🍁,follower,moger4
scrappydoolives,,follower,moger4
loftyblack261,,follower,moger4
labmadepenguin,"West Yorkshire, England",follower,moger4
csb1974,Fife Scotland,follower,moger4
rangerjimb1,Richmond VA,follower,moger4
jeanniebrault4,🐺🇨🇦🇺🇸⚕️✝️🧞‍♀️🇮🇱🇮🇱🐺,follower,moger4
devisonh,Las Vegas,follower,moger4
ameliachole379,,follower,moger4
angelwlove,South Dakota,follower,moger4
johncooke06,London,follower,moger4
adaliab,Florida,follower,moger4
ginoscarpa,Restored Virginia…,follower,moger4
martincos,,follower,moger4
maxilinderss,,follower,moger4
loyceb,欢迎加入雅典娜农场,follower,moger4
huyidao,"NYC,NY",follower,moger4
bib423945,,follower,moger4
